<<<<<<< HEAD
Provincias;Grupo quinquenal de edad;Nacionalidad;Sexo;Periodo;Total
02 Albacete;De 0 a 4 años;Española;Hombres;1 de julio de 2022;6.683,000000
02 Albacete;De 0 a 4 años;Española;Hombres;1 de enero de 2022;6.877,000000
02 Albacete;De 0 a 4 años;Española;Hombres;1 de julio de 2019;7.773,172848
02 Albacete;De 0 a 4 años;Española;Hombres;1 de enero de 2019;7.949,127128
02 Albacete;De 0 a 4 años;Española;Mujeres;1 de julio de 2022;6.195,000000
02 Albacete;De 0 a 4 años;Española;Mujeres;1 de enero de 2022;6.353,000000
02 Albacete;De 0 a 4 años;Española;Mujeres;1 de julio de 2019;7.088,918340
02 Albacete;De 0 a 4 años;Española;Mujeres;1 de enero de 2019;7.225,005011
02 Albacete;De 5 a 9 años;Española;Hombres;1 de julio de 2022;8.476,411935
02 Albacete;De 5 a 9 años;Española;Hombres;1 de enero de 2022;8.517,635349
02 Albacete;De 5 a 9 años;Española;Hombres;1 de julio de 2019;9.043,259985
02 Albacete;De 5 a 9 años;Española;Hombres;1 de enero de 2019;9.117,942013
02 Albacete;De 5 a 9 años;Española;Mujeres;1 de julio de 2022;7.799,155243
02 Albacete;De 5 a 9 años;Española;Mujeres;1 de enero de 2022;7.877,210923
02 Albacete;De 5 a 9 años;Española;Mujeres;1 de julio de 2019;8.433,330213
02 Albacete;De 5 a 9 años;Española;Mujeres;1 de enero de 2019;8.599,194178
02 Albacete;De 10 a 14 años;Española;Hombres;1 de julio de 2022;9.646,419590
02 Albacete;De 10 a 14 años;Española;Hombres;1 de enero de 2022;9.804,347479
02 Albacete;De 10 a 14 años;Española;Hombres;1 de julio de 2019;9.894,690591
02 Albacete;De 10 a 14 años;Española;Hombres;1 de enero de 2019;9.903,784629
02 Albacete;De 10 a 14 años;Española;Mujeres;1 de julio de 2022;9.120,623654
02 Albacete;De 10 a 14 años;Española;Mujeres;1 de enero de 2022;9.197,431430
02 Albacete;De 10 a 14 años;Española;Mujeres;1 de julio de 2019;9.159,878203
02 Albacete;De 10 a 14 años;Española;Mujeres;1 de enero de 2019;9.058,388512
02 Albacete;De 15 a 19 años;Española;Hombres;1 de julio de 2022;9.800,833244
02 Albacete;De 15 a 19 años;Española;Hombres;1 de enero de 2022;9.694,389234
02 Albacete;De 15 a 19 años;Española;Hombres;1 de julio de 2019;9.672,821482
02 Albacete;De 15 a 19 años;Española;Hombres;1 de enero de 2019;9.686,970908
02 Albacete;De 15 a 19 años;Española;Mujeres;1 de julio de 2022;9.151,775497
02 Albacete;De 15 a 19 años;Española;Mujeres;1 de enero de 2022;9.131,459831
02 Albacete;De 15 a 19 años;Española;Mujeres;1 de julio de 2019;9.336,612060
02 Albacete;De 15 a 19 años;Española;Mujeres;1 de enero de 2019;9.379,222113
02 Albacete;De 20 a 24 años;Española;Hombres;1 de julio de 2022;9.693,308147
02 Albacete;De 20 a 24 años;Española;Hombres;1 de enero de 2022;9.730,356803
02 Albacete;De 20 a 24 años;Española;Hombres;1 de julio de 2019;9.991,748200
02 Albacete;De 20 a 24 años;Española;Hombres;1 de enero de 2019;10.036,878146
02 Albacete;De 20 a 24 años;Española;Mujeres;1 de julio de 2022;9.318,990954
02 Albacete;De 20 a 24 años;Española;Mujeres;1 de enero de 2022;9.333,369112
02 Albacete;De 20 a 24 años;Española;Mujeres;1 de julio de 2019;9.258,530736
02 Albacete;De 20 a 24 años;Española;Mujeres;1 de enero de 2019;9.282,508878
02 Albacete;De 25 a 29 años;Española;Hombres;1 de julio de 2022;9.613,151652
02 Albacete;De 25 a 29 años;Española;Hombres;1 de enero de 2022;9.774,965130
02 Albacete;De 25 a 29 años;Española;Hombres;1 de julio de 2019;10.219,403110
02 Albacete;De 25 a 29 años;Española;Hombres;1 de enero de 2019;10.345,897409
02 Albacete;De 25 a 29 años;Española;Mujeres;1 de julio de 2022;8.825,768646
02 Albacete;De 25 a 29 años;Española;Mujeres;1 de enero de 2022;8.980,765706
02 Albacete;De 25 a 29 años;Española;Mujeres;1 de julio de 2019;9.486,920955
02 Albacete;De 25 a 29 años;Española;Mujeres;1 de enero de 2019;9.594,233564
02 Albacete;De 30 a 34 años;Española;Hombres;1 de julio de 2022;10.050,878570
02 Albacete;De 30 a 34 años;Española;Hombres;1 de enero de 2022;10.167,907617
02 Albacete;De 30 a 34 años;Española;Hombres;1 de julio de 2019;10.328,652903
02 Albacete;De 30 a 34 años;Española;Hombres;1 de enero de 2019;10.430,665766
02 Albacete;De 30 a 34 años;Española;Mujeres;1 de julio de 2022;9.318,344142
02 Albacete;De 30 a 34 años;Española;Mujeres;1 de enero de 2022;9.422,435309
02 Albacete;De 30 a 34 años;Española;Mujeres;1 de julio de 2019;9.714,240962
02 Albacete;De 30 a 34 años;Española;Mujeres;1 de enero de 2019;9.837,700662
02 Albacete;De 35 a 39 años;Española;Hombres;1 de julio de 2022;10.742,821108
02 Albacete;De 35 a 39 años;Española;Hombres;1 de enero de 2022;10.935,260050
02 Albacete;De 35 a 39 años;Española;Hombres;1 de julio de 2019;12.054,957707
02 Albacete;De 35 a 39 años;Española;Hombres;1 de enero de 2019;12.325,303983
02 Albacete;De 35 a 39 años;Española;Mujeres;1 de julio de 2022;10.080,396554
02 Albacete;De 35 a 39 años;Española;Mujeres;1 de enero de 2022;10.202,541734
02 Albacete;De 35 a 39 años;Española;Mujeres;1 de julio de 2019;11.318,217711
02 Albacete;De 35 a 39 años;Española;Mujeres;1 de enero de 2019;11.546,695295
02 Albacete;De 40 a 44 años;Española;Hombres;1 de julio de 2022;13.241,809048
02 Albacete;De 40 a 44 años;Española;Hombres;1 de enero de 2022;13.455,834351
02 Albacete;De 40 a 44 años;Española;Hombres;1 de julio de 2019;14.275,603554
02 Albacete;De 40 a 44 años;Española;Hombres;1 de enero de 2019;14.365,028279
02 Albacete;De 40 a 44 años;Española;Mujeres;1 de julio de 2022;12.404,289872
02 Albacete;De 40 a 44 años;Española;Mujeres;1 de enero de 2022;12.610,395732
02 Albacete;De 40 a 44 años;Española;Mujeres;1 de julio de 2019;13.719,690837
02 Albacete;De 40 a 44 años;Española;Mujeres;1 de enero de 2019;13.876,022150
02 Albacete;De 45 a 49 años;Española;Hombres;1 de julio de 2022;14.414,273443
02 Albacete;De 45 a 49 años;Española;Hombres;1 de enero de 2022;14.411,264161
02 Albacete;De 45 a 49 años;Española;Hombres;1 de julio de 2019;14.337,411095
02 Albacete;De 45 a 49 años;Española;Hombres;1 de enero de 2019;14.360,005469
02 Albacete;De 45 a 49 años;Española;Mujeres;1 de julio de 2022;14.016,233732
02 Albacete;De 45 a 49 años;Española;Mujeres;1 de enero de 2022;14.086,242129
02 Albacete;De 45 a 49 años;Española;Mujeres;1 de julio de 2019;14.086,723364
02 Albacete;De 45 a 49 años;Española;Mujeres;1 de enero de 2019;14.194,525604
02 Albacete;De 50 a 54 años;Española;Hombres;1 de julio de 2022;14.439,391228
02 Albacete;De 50 a 54 años;Española;Hombres;1 de enero de 2022;14.512,271026
02 Albacete;De 50 a 54 años;Española;Hombres;1 de julio de 2019;14.842,140474
02 Albacete;De 50 a 54 años;Española;Hombres;1 de enero de 2019;14.937,792713
02 Albacete;De 50 a 54 años;Española;Mujeres;1 de julio de 2022;14.469,141220
02 Albacete;De 50 a 54 años;Española;Mujeres;1 de enero de 2022;14.509,475126
02 Albacete;De 50 a 54 años;Española;Mujeres;1 de julio de 2019;14.771,891249
02 Albacete;De 50 a 54 años;Española;Mujeres;1 de enero de 2019;14.798,846569
02 Albacete;De 55 a 59 años;Española;Hombres;1 de julio de 2022;14.643,837551
02 Albacete;De 55 a 59 años;Española;Hombres;1 de enero de 2022;14.573,870659
02 Albacete;De 55 a 59 años;Española;Hombres;1 de julio de 2019;14.209,218157
02 Albacete;De 55 a 59 años;Española;Hombres;1 de enero de 2019;14.061,514430
02 Albacete;De 55 a 59 años;Española;Mujeres;1 de julio de 2022;14.650,498592
02 Albacete;De 55 a 59 años;Española;Mujeres;1 de enero de 2022;14.607,689516
02 Albacete;De 55 a 59 años;Española;Mujeres;1 de julio de 2019;13.875,125566
02 Albacete;De 55 a 59 años;Española;Mujeres;1 de enero de 2019;13.676,490949
02 Albacete;De 60 a 64 años;Española;Hombres;1 de julio de 2022;13.079,597117
02 Albacete;De 60 a 64 años;Española;Hombres;1 de enero de 2022;12.921,775516
02 Albacete;De 60 a 64 años;Española;Hombres;1 de julio de 2019;11.086,330247
02 Albacete;De 60 a 64 años;Española;Hombres;1 de enero de 2019;10.681,367244
02 Albacete;De 60 a 64 años;Española;Mujeres;1 de julio de 2022;12.982,160509
02 Albacete;De 60 a 64 años;Española;Mujeres;1 de enero de 2022;12.763,027201
02 Albacete;De 60 a 64 años;Española;Mujeres;1 de julio de 2019;11.234,681390
02 Albacete;De 60 a 64 años;Española;Mujeres;1 de enero de 2019;10.925,644412
02 Albacete;De 65 a 69 años;Española;Hombres;1 de julio de 2022;9.346,638265
02 Albacete;De 65 a 69 años;Española;Hombres;1 de enero de 2022;9.154,374032
02 Albacete;De 65 a 69 años;Española;Hombres;1 de julio de 2019;8.784,502367
02 Albacete;De 65 a 69 años;Española;Hombres;1 de enero de 2019;8.781,879843
02 Albacete;De 65 a 69 años;Española;Mujeres;1 de julio de 2022;10.007,770987
02 Albacete;De 65 a 69 años;Española;Mujeres;1 de enero de 2022;9.779,358728
02 Albacete;De 65 a 69 años;Española;Mujeres;1 de julio de 2019;9.213,434983
02 Albacete;De 65 a 69 años;Española;Mujeres;1 de enero de 2019;9.147,716206
02 Albacete;De 70 a 74 años;Española;Hombres;1 de julio de 2022;8.004,713736
02 Albacete;De 70 a 74 años;Española;Hombres;1 de enero de 2022;7.919,420299
02 Albacete;De 70 a 74 años;Española;Hombres;1 de julio de 2019;7.654,462094
02 Albacete;De 70 a 74 años;Española;Hombres;1 de enero de 2019;7.559,502598
02 Albacete;De 70 a 74 años;Española;Mujeres;1 de julio de 2022;8.796,284382
02 Albacete;De 70 a 74 años;Española;Mujeres;1 de enero de 2022;8.708,737521
02 Albacete;De 70 a 74 años;Española;Mujeres;1 de julio de 2019;8.665,447900
02 Albacete;De 70 a 74 años;Española;Mujeres;1 de enero de 2019;8.708,335075
02 Albacete;De 75 a 79 años;Española;Hombres;1 de julio de 2022;6.382,904958
02 Albacete;De 75 a 79 años;Española;Hombres;1 de enero de 2022;6.313,987994
02 Albacete;De 75 a 79 años;Española;Hombres;1 de julio de 2019;6.366,514423
02 Albacete;De 75 a 79 años;Española;Hombres;1 de enero de 2019;6.157,614952
02 Albacete;De 75 a 79 años;Española;Mujeres;1 de julio de 2022;7.787,127750
02 Albacete;De 75 a 79 años;Española;Mujeres;1 de enero de 2022;7.760,926550
02 Albacete;De 75 a 79 años;Española;Mujeres;1 de julio de 2019;7.740,236856
02 Albacete;De 75 a 79 años;Española;Mujeres;1 de enero de 2019;7.432,871172
