;Unnamed: 0;order_id;quantity;item_name;choice_description;item_price
0;0;1;1;Chips and Fresh Tomato Salsa;;$2.39 
1;1;1;1;Izze;[Clementine];$3.39 
2;2;1;1;Nantucket Nectar;[Apple];$3.39 
3;3;1;1;Chips and Tomatillo-Green Chili Salsa;;$2.39 
4;4;2;2;Chicken Bowl;[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]];$16.98 
5;5;3;1;Chicken Bowl;[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]];$10.98 
6;6;3;1;Side of Chips;;$1.69 
7;7;4;1;Steak Burrito;[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]];$11.75 
8;8;4;1;Steak Soft Tacos;[Tomatillo Green Chili Salsa, [Pinto Beans, Cheese, Sour Cream, Lettuce]];$9.25 
9;9;5;1;Steak Burrito;[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]];$9.25 
10;10;5;1;Chips and Guacamole;;$4.45 
11;11;6;1;Chicken Crispy Tacos;[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]];$8.75 
12;12;6;1;Chicken Soft Tacos;[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]];$8.75 
13;13;7;1;Chicken Bowl;[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]];$11.25 
14;14;7;1;Chips and Guacamole;;$4.45 
15;15;8;1;Chips and Tomatillo-Green Chili Salsa;;$2.39 
16;16;8;1;Chicken Burrito;[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Cheese, Sour Cream]];$8.49 
17;17;9;1;Chicken Burrito;[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]];$8.49 
18;18;9;2;Canned Soda;[Sprite];$2.18 
19;19;10;1;Chicken Bowl;[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]];$8.75 
20;20;10;1;Chips and Guacamole;;$4.45 
21;21;11;1;Barbacoa Burrito;[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]];$8.99 
22;22;11;1;Nantucket Nectar;[Pomegranate Cherry];$3.39 
23;23;12;1;Chicken Burrito;[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]];$10.98 
